response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0054,0.0019,0.0015,0.0000,0.0034,0.0000,200,1.0012
0.0055,0.0021,0.0015,0.0000,0.0034,0.0000,200,1.0011
0.0055,0.0020,0.0015,0.0000,0.0035,0.0000,200,1.0011
0.0056,0.0021,0.0015,0.0000,0.0035,0.0000,200,1.0011
0.0055,0.0019,0.0015,0.0000,0.0036,0.0000,200,1.0012
0.0056,0.0019,0.0015,0.0000,0.0036,0.0000,200,1.0011
0.0056,0.0020,0.0015,0.0000,0.0036,0.0000,200,1.0011
0.0057,0.0021,0.0015,0.0000,0.0035,0.0000,200,1.0010
0.0057,0.0023,0.0016,0.0012,0.0022,0.0000,200,1.0010
0.0046,0.0027,0.0003,0.0000,0.0019,0.0000,200,1.0021
0.0057,0.0022,0.0016,0.0000,0.0035,0.0000,200,1.0010
0.0061,0.0027,0.0018,0.0012,0.0021,0.0000,200,1.0006
0.0057,0.0022,0.0016,0.0000,0.0035,0.0000,200,1.0010
0.0059,0.0024,0.0016,0.0000,0.0034,0.0000,200,1.0009
0.0054,0.0000,0.0019,0.0000,0.0003,0.0000,200,1.0016
0.0055,0.0000,0.0021,0.0000,0.0003,0.0000,200,1.0015
0.0056,0.0000,0.0022,0.0000,0.0004,0.0000,200,1.0015
0.0051,0.0000,0.0029,0.0000,0.0004,0.0000,200,1.0020
0.0056,0.0000,0.0021,0.0000,0.0004,0.0000,200,1.0015
0.0058,0.0000,0.0054,0.0000,0.0005,0.0000,200,1.0014
0.0059,0.0000,0.0022,0.0000,0.0007,0.0000,200,1.0015
0.0059,0.0000,0.0023,0.0000,0.0007,0.0000,200,1.0015
0.0061,0.0000,0.0035,0.0000,0.0007,0.0001,200,1.0014
0.0061,0.0000,0.0036,0.0000,0.0008,0.0001,200,1.0013
0.0066,0.0000,0.0021,0.0000,0.0013,0.0001,200,1.0014
0.0071,0.0022,0.0015,0.0000,0.0049,0.0000,200,1.0010
0.0072,0.0035,0.0016,0.0001,0.0036,0.0000,200,1.0009
0.0073,0.0018,0.0015,0.0000,0.0054,0.0000,200,1.0012
0.0083,0.0000,0.0053,0.0000,0.0018,0.0013,200,1.0013
0.0084,0.0018,0.0014,0.0000,0.0054,0.0012,200,1.0012
0.0080,0.0031,0.0028,0.0000,0.0047,0.0002,200,1.0017
0.0084,0.0033,0.0014,0.0000,0.0042,0.0010,200,1.0012
0.0081,0.0031,0.0030,0.0000,0.0049,0.0001,200,1.0016
0.0089,0.0030,0.0029,0.0000,0.0043,0.0016,200,1.0015
0.0088,0.0034,0.0030,0.0000,0.0047,0.0007,200,1.0016
0.0088,0.0031,0.0030,0.0000,0.0049,0.0007,200,1.0016
0.0089,0.0032,0.0030,0.0000,0.0049,0.0007,200,1.0016
0.0091,0.0034,0.0032,0.0000,0.0050,0.0008,200,1.0013
0.0088,0.0030,0.0029,0.0000,0.0056,0.0001,200,1.0017
0.0088,0.0030,0.0029,0.0000,0.0056,0.0001,200,1.0017
0.0094,0.0030,0.0029,0.0000,0.0064,0.0000,200,1.0017
0.0098,0.0035,0.0034,0.0000,0.0062,0.0000,200,1.0013
0.0102,0.0036,0.0033,0.0000,0.0065,0.0000,200,1.0012
0.0102,0.0036,0.0034,0.0000,0.0066,0.0000,200,1.0013
0.0097,0.0031,0.0031,0.0000,0.0066,0.0000,200,1.0018
0.0100,0.0030,0.0029,0.0000,0.0070,0.0000,200,1.0020
0.0105,0.0032,0.0031,0.0000,0.0072,0.0000,200,1.0017
0.0104,0.0031,0.0031,0.0000,0.0073,0.0000,200,1.0018
0.0106,0.0032,0.0031,0.0000,0.0073,0.0000,200,1.0017
0.0108,0.0032,0.0031,0.0000,0.0076,0.0000,200,1.0018
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,2.0014
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,2.0013
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,2.0015
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,2.0012
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,2.0013
0.0037,0.0000,0.0000,0.0000,0.0036,0.0000,200,2.0009
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,2.0007
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,2.0015
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,2.0012
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,2.0014
0.0034,0.0000,0.0000,0.0000,0.0034,0.0000,200,2.0012
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,2.0014
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,2.0015
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,2.0010
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,2.0009
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,2.0010
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,2.0010
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,2.0011
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,2.0010
0.0033,0.0000,0.0000,0.0000,0.0033,0.0000,200,2.0013
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,2.0011
